"","title","writer","written","rating","comment"
"1613","Great!","Joanne H","Aug 2019",4,"really worth a visit egyptian room great and it was fantastic to see the sutton hoo treasures buying a map is a must as its quite tricky to find your way around without one  "
"1614","Great","Alison O","Aug 2019",4,"fantastic place even the building everything is housed in wonders everywhere only  thing i didnt like paying  for a basic takeaway cup of tea"
"1615","British museum","Escape597649","Aug 2019",5,"the time spent at the security checks at the entrance can be reduced if you don’t have backpacks or large hand bags  you can purchase a map of the building or pick up one with a voluntary donation inside the entrance there is a guide to essential exhibits to see if your time…"
"1616","First thing to see in London ","Kyriakos Pz","Aug 2019",5,"the visitor can admire a vast collection of archeological findings and gain insights of the amazing history of the human race coming from all the different places in our planet  ps although it is nice for the visitor to be able to admire all these archeological treasures…"
"1617","Museum  visit.","Explorer195753","Aug 2019",5,"went to see the current manga  exhibition and was very impressed with exhibits and it traced the history of manga with lots of stories and prints and figures of atom boy"
"1618","Good but busy!","Paul E","Aug 2019",4,"popped in on our last day in london during a short break  the building is really nice and open feels huge as you walk around we didn’t get the headphone tour but understand it’s good from other people’s comments  both kids enjoyed looking round we spent  minutes or so in…"
"1619","Unique exhibits of different cultures under one roof!","Zarifi Vassoglou","Aug 2019",5,"admire magnificent artifacts travel through centuries and countries one day is definitely not enough a must for everyone visiting the uk the refreshments are an excellent idea and the gift shop offers great variety"
"1620","visit in the evening or before closing time to avoid the crowds: Learn something new every visit","swansfromBoston","Aug 2019",5,"this was our rd trip to the museum since our last trip  years ago  we visited around day of a heat wave in july and the museums air conditioning could not keep up with the heat  it was so hot the doors to the room holding the elgin marbles were open   we arrived around …"
"1621","Crowded but worth it. ","jetlagsue","Aug 2019",5,"i always love the british museum i entered through the montague st entrance it is less known and faster than the great russel st entrance the wow factor of this museum is a  i always start at the top and work my way down i always take  days to enjoy this museum i did…"
"1622","Terrific museum","CasperSYDAU","Aug 2019",5,"arrive early to clear security  be selective on what you read  view only what really catches your eye   egyptian area crowded  busy go there early enough to see to fill the best part of the day easily reached by metro  then on foot"
"1623","Spontaneous Visit","Emily Fine","Aug 2019",5,"this was a random place that i was last minute recommended to go to i spent nearly three hours here and felt that there was still so much to explore i had an amazing time here there are so many exhibits and artifacts at this museum "
"1624","Jeremy visita British museum 07/19","JezPete63","Aug 2019",5,"wonderful museum with very helpful staff working there they could answer all questions and were very kind we wondered around for hours enjoying the exhibitions very clean and well kept"
