"title","comment","trip","writer","written","rating"
"A travel in Time","The Museum to go in London Amazing collections to visit We enjoyed especialy the Precolumbian galeries and their outstanding items Stelaes from Yachilan Aztec and Toltec items Olmec, mayas.... The splendors of Meso America are in a beautifull showcase Highly recommanded","October 2019","Sarrasota46","Oct 2019",5
"Honest Review- Visiting with Kids","So I went twice in the last year- once with my 6yr and 8month old. The second time was with just adults. I will focus this review with visiting with kids.    MOBILITY: If you have a small stroller take that! Just make sure you can fit your goodies in a good under-basket.  They…","October 2019","ChileanWorldTraveler","Oct 2019",5
"A must see!","The building itself is a work of art especially the lobby!!  The Egyptian exhibit was amazing!!! Could have stayed all day! Next time we are in London we will go back!!!","October 2019","Dean P","Oct 2019",5
"Amazing !!!!","Debating between Natural History Museum and this Museum. Was tuff. Only have time for one and I glad chose this one. Having interesting pieces of art including some better then New York Museum of Natural History. Like the Greek pavilion love it!!! Roman era and Egypt awesome.…","October 2019","Ermilsumc","Oct 2019",5
"<U+53BB><U+4E0D><U+4E86><U+57C3><U+53CA><U+4F86><U+9019><U+4E5F><U+884C>","<U+5982><U+679C><U+4F60><U+559C><U+6B61><U+53E4><U+6587><U+660E>,<U+63A2><U+7D22><U+90A3><U+4E9B><U+53E4><U+7269><U+3002><U+9019><U+88E1><U+7D55><U+5C0D><U+662F><U+4F60><U+6703><U+559C><U+6B61><U+7684><U+5730><U+65B9> <U+7576><U+4F60><U+9760><U+8FD1><U+4E00><U+9EDE>,<U+611F><U+53D7><U+4ED6><U+5011><U+6B77><U+53F2><U+7684><U+75D5><U+8DE1><U+6642><U+5019><U+3002><U+6703><U+6709><U+611F><U+52D5><U+7684><U+60F3><U+843D><U+6DDA><U+7684><U+60C5><U+7DD2> Welcome to explore at here. Inspire ur emotion ","September 2019","<U+963F><U+91CC><U+5DF4><U+5DF4>515","Oct 2019",5
"Great Museum","We visited this museum to see two things: the Rosetta Stone and the pieces taken from the Parthenon.  Of course, we saw both and much more, including an interesting exhibit of clocks.","September 2019","jwbrown72","Oct 2019",5
"Museum Must See","If possible do take advantage of the late Friday openings, we sailed right in. Have a plan, known the “must see” items to suit your taste and see them first. Grab a museum map upon entering. The Rosetta Stone, The Lewis Chessmen, Ancient Greek artifacts and all things Egyptian…","October 2019","RaeRae M","Oct 2019",5
"Great museum","The second obligated aim of our London tour was visiting of The British museum. We were most interested in seeing of Greek and Roman collection of  art work and main thing to see Egyptian collection. Earlier we saw Egyptian collections in Metropolitan (New York), Louvre (Paris),…","October 2019","Mikhail K","Oct 2019",5
"My favorite Museum in London","We went to the science and the history museums yesterday. This was my favorite. Not my favorite layout or entrance though.","October 2019","oyster1001","Oct 2019",5
"So much history!","The modern atrium in an old building is spectacular. Inside, there's so much to see, it's overwhelming. I would choose one period or country in history and save the rest for another day.","September 2019","Claire M","Oct 2019",4
"Unbelievable Treasure Trove","My husband and I visited the museum in early September.  It's hard to believe that this is free considering the quantity and quality of treasures it holds!  Plan to spend at least a couple days here...and still you won't see everything!  Not to be missed while in London!","September 2019","sc1009","Oct 2019",5
"Not what I expected","I found this museum a but disappointing to be honest, we didn't have a lot of time but from what we managed to see I'm not sure why it's called the British museum as all we saw were Egyptian, Chinese, South America etc so not sure if there is anything British there, I expected…","October 2019","Katy B","Oct 2019",3
"This place is brilliant.","Spent about 5 hours in the museum and could have spent longer. It cvoers everything and everywhere. Give it a look you won't be disappointed.","September 2019","Brian M","Oct 2019",5
"3 day vacation in London ","This is a must visit when in London. Pick a rainy day and stay for a long time. The entrance is free. Audio device is 5£. We did not get any since they ran out of devices. The Egyptian and Persian section was fascinating. Particularly the Cyrus cylinder the king of Persian…","October 2019","Hossein T","Oct 2019",5
"Fantastic!  Wish we'd had more time!","We were here for 4 hours and it was not nearly enough.  Would loved to have had the time to come back another day, didn't even make it to a quarter of the museum.  The exhibits were fascinating.   I'm sure you could do it faster, but, if you like going at your own pace and…","September 2019","Betsy76257","Oct 2019",5
"Treasure haul of empire","If you can get past the obvious issues with items of great cultural import having been taken from across the globe ..   Could easily spend a day here and be left feeling you had just scratched the surface. Planning your trip ahead of time to make best use of your time is…","October 2019","RiversideGraham","Oct 2019",5
